nombreColumna,numeroTabla,numeroColumna,cantidadBytes,esPK
CategoryID,1,1,4,1
CategoryName,1,2,17,0
Description,1,3,16777215,0
Picture,1,4,4294967295,0
CustomerID,2,1,7,1
CustomerTypeID,2,2,12,1
CustomerTypeID,3,1,12,1
CustomerDesc,3,2,16777215,0
CustomerID,4,1,7,1
CompanyName,4,2,42,0
ContactName,4,3,32,0
ContactTitle,4,4,32,0
Address,4,5,62,0
City,4,6,17,0
Region,4,7,17,0
PostalCode,4,8,12,0
Country,4,9,17,0
Phone,4,10,26,0
Fax,4,11,26,0
EmployeeID,5,1,4,1
LastName,5,2,22,0
FirstName,5,3,12,0
Title,5,4,32,0
TitleOfCourtesy,5,5,27,0
BirthDate,5,6,8,0
HireDate,5,7,8,0
Address,5,8,62,0
City,5,9,17,0
Region,5,10,17,0
PostalCode,5,11,12,0
Country,5,12,17,0
HomePhone,5,13,26,0
Extension,5,14,6,0
Photo,5,15,4294967295,0
Notes,5,16,16777215,0
ReportsTo,5,17,4,1
PhotoPath,5,18,257,0
Salary,5,19,4,0
EmployeeID,6,1,4,1
TerritoryID,6,2,22,1
OrderID,7,1,4,1
ProductID,7,2,4,1
UnitPrice,7,3,8,0
Quantity,7,4,2,0
Discount,7,5,8,0
OrderID,8,1,4,1
CustomerID,8,2,7,1
EmployeeID,8,3,4,1
OrderDate,8,4,8,0
RequiredDate,8,5,8,0
ShippedDate,8,6,8,0
ShipVia,8,7,4,1
Freight,8,8,8,0
ShipName,8,9,42,0
ShipAddress,8,10,62,0
ShipCity,8,11,17,0
ShipRegion,8,12,17,0
ShipPostalCode,8,13,12,0
ShipCountry,8,14,17,0
ProductID,9,1,4,1
ProductName,9,2,42,0
SupplierID,9,3,4,1
CategoryID,9,4,4,1
QuantityPerUnit,9,5,22,0
UnitPrice,9,6,8,0
UnitsInStock,9,7,2,0
UnitsOnOrder,9,8,2,0
ReorderLevel,9,9,2,0
Discontinued,9,10,1,0
RegionID,10,1,4,1
RegionDescription,10,2,52,0
ShipperID,11,1,4,1
CompanyName,11,2,42,0
Phone,11,3,26,0
SupplierID,12,1,4,1
CompanyName,12,2,42,0
ContactName,12,3,32,0
ContactTitle,12,4,32,0
Address,12,5,62,0
City,12,6,17,0
Region,12,7,17,0
PostalCode,12,8,12,0
Country,12,9,17,0
Phone,12,10,26,0
Fax,12,11,26,0
HomePage,12,12,16777215,0
TerritoryID,13,1,22,1
TerritoryDescription,13,2,52,0
RegionID,13,3,4,1
